artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
Cochise,Tell Em,7nc7mlSdWYeFom84zZ8Wr8,78,46HzS7yz0c9udVwtbHk1sx,64,"['plugg', 'pluggnb', 'rage rap']",634862
Rod Wave,Street Runner,5iMRhOHzze2CujxHiJ6cRL,75,45TgXXqMDdF8BkjA83OM7z,79,['florida rap'],6162251
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),5B0kgjHULYJhAQkK5XsMoC,76,4V8LLVI7PbaPR0K2TGSxFF,83,"['hip hop', 'rap']",13526376
Ivan Cornejo,Está Dañada,6G2xXQRSZlEzYsUEb3uvuR,76,6PH3FLQAxtqYy46Zv08bpV,74,['sad sierreno'],2011460
Lil Tjay,Calling My Phone,3J8EOeKLTLXORtWPpOU5bE,80,6jGMq4yGs7aQzuGsMgVgZR,78,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",7648294
DJ Snake,U Are My High (with Future),0ITaSRuI0L1RNL7ZNYTTi7,78,540vIaP2JwjQb9dm3aArA4,77,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",8724391
Doja Cat,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,82,5cj0lLjcoR7YOSnhnX0Po5,87,"['dance pop', 'pop']",27823181
Mareux,The Perfect Girl,5RBOcBpJXaNnHCGViJmYhh,82,7riQPkkGZBnTh9ve5qIhYo,64,['dark synthpop'],310234
"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),3EG9FJ0ToLfgnc1IG2Z1wz,77,4V8LLVI7PbaPR0K2TGSxFF,83,"['hip hop', 'rap']",13526376
Marshmello,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,84,64KEffDW9EtZ1y2vBYgq8T,83,"['brostep', 'edm', 'pop', 'progressive electro house']",34855037
Drake,Champagne Poetry,2HSmyk2qMN8WQjuGhaQgCk,77,3TVXtAsR1Inumwj472S9r4,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83173873
Key Glock,Ambition For Cash,4mIHgQ3ofK2RK34UdbqMbe,78,0RESbWvOMyua0yuyVrztJ5,75,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",1818377
Olivia Rodrigo,"1 step forward, 3 steps back",4wcBRRpIfesgcyUtis7PEg,80,1McMsnEElThX1knmY4oliG,87,['pop'],31086285
Doja Cat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,81,5cj0lLjcoR7YOSnhnX0Po5,87,"['dance pop', 'pop']",27823181
Taylor Swift,Fearless (Taylor’s Version),77sMIMlNaSURUAXq5coCxE,83,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
Drake,Girls Want Girls (with Lil Baby),37Nqx7iavZpotJSDXZWbJ3,78,3TVXtAsR1Inumwj472S9r4,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83173873
Trippie Redd,Miss The Rage,46NzAxDzsE443IsyZndZfP,78,6Xgp2XMz1fhVYe7i6yNAax,79,"['melodic rap', 'rap', 'trap']",9223149
Doja Cat,You Right,0k4d5YPDr1r7FX77VdqWez,81,5cj0lLjcoR7YOSnhnX0Po5,87,"['dance pop', 'pop']",27823181
Bruno Mars,Leave The Door Open,02VBYrHfVwfEWXk5DXyf0T,82,0du5cEVh5yTK9QJze8zA0C,87,"['dance pop', 'pop']",52829147
Doja Cat,Ain't Shit,5lAnYvAIkSDNXqfo7DyFUm,78,5cj0lLjcoR7YOSnhnX0Po5,87,"['dance pop', 'pop']",27823181
Drake,Way 2 Sexy (with Future & Young Thug),0k1WUmIRnG3xU6fvvDVfRG,77,3TVXtAsR1Inumwj472S9r4,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83173873
Cafuné,Tek It,751srcHf5tUqcEa9pRCQwP,77,581C5Qwl87TskfBEzuoisu,63,"['brooklyn indie', 'sped up']",217565
The Noisy Outdoors,Every Night White Noise,5nMbf1TCIXxtgWjcCT7pzs,78,6ipASreqbHk6a7aR2xo9BW,57,"['rain', 'white noise']",314
